# layer_id eta phi delta_eta delta_phi rmin rmax
L 3 -1.0 1.0 40 -3.11704896 3.11704896 254 1926.0 1980.0
C 3 -0.975 -3.10477711 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi0 0 0
C 3 -0.975 -3.08023342 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi1 0 1
C 3 -0.975 -3.05568973 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi2 0 2
C 3 -0.975 -3.03114604 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi3 0 3
C 3 -0.975 -3.00660234 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi4 0 4
C 3 -0.975 -2.98205865 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi5 0 5
C 3 -0.975 -2.95751496 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi6 0 6
C 3 -0.975 -2.93297127 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi7 0 7
C 3 -0.975 -2.90842757 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi8 0 8
C 3 -0.975 -2.88388388 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi9 0 9
C 3 -0.975 -2.85934019 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi10 0 10
C 3 -0.975 -2.8347965 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi11 0 11
C 3 -0.975 -2.8102528 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi12 0 12
C 3 -0.975 -2.78570911 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi13 0 13
C 3 -0.975 -2.76116542 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi14 0 14
C 3 -0.975 -2.73662173 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi15 0 15
C 3 -0.975 -2.71207803 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi16 0 16
C 3 -0.975 -2.68753434 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi17 0 17
C 3 -0.975 -2.66299065 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi18 0 18
C 3 -0.975 -2.63844696 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi19 0 19
C 3 -0.975 -2.61390326 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi20 0 20
C 3 -0.975 -2.58935957 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi21 0 21
C 3 -0.975 -2.56481588 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi22 0 22
C 3 -0.975 -2.54027218 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi23 0 23
C 3 -0.975 -2.51572849 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi24 0 24
C 3 -0.975 -2.4911848 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi25 0 25
C 3 -0.975 -2.46664111 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi26 0 26
C 3 -0.975 -2.44209741 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi27 0 27
C 3 -0.975 -2.41755372 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi28 0 28
C 3 -0.975 -2.39301003 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi29 0 29
C 3 -0.975 -2.36846634 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi30 0 30
C 3 -0.975 -2.34392264 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi31 0 31
C 3 -0.975 -2.31937895 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi32 0 32
C 3 -0.975 -2.29483526 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi33 0 33
C 3 -0.975 -2.27029157 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi34 0 34
C 3 -0.975 -2.24574787 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi35 0 35
C 3 -0.975 -2.22120418 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi36 0 36
C 3 -0.975 -2.19666049 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi37 0 37
C 3 -0.975 -2.1721168 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi38 0 38
C 3 -0.975 -2.1475731 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi39 0 39
C 3 -0.975 -2.12302941 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi40 0 40
C 3 -0.975 -2.09848572 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi41 0 41
C 3 -0.975 -2.07394203 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi42 0 42
C 3 -0.975 -2.04939833 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi43 0 43
C 3 -0.975 -2.02485464 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi44 0 44
C 3 -0.975 -2.00031095 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi45 0 45
C 3 -0.975 -1.97576725 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi46 0 46
C 3 -0.975 -1.95122356 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi47 0 47
C 3 -0.975 -1.92667987 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi48 0 48
C 3 -0.975 -1.90213618 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi49 0 49
C 3 -0.975 -1.87759248 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi50 0 50
C 3 -0.975 -1.85304879 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi51 0 51
C 3 -0.975 -1.8285051 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi52 0 52
C 3 -0.975 -1.80396141 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi53 0 53
C 3 -0.975 -1.77941771 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi54 0 54
C 3 -0.975 -1.75487402 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi55 0 55
C 3 -0.975 -1.73033033 0.05 0.02454369 1926.0 1980.0 layer3_eta0_phi56 0 56
