# layer_id eta phi delta_eta delta_phi rmin rmax
L 4 -0.8 0.8 16 -3.14159265 3.14159265 64 2280 2680
C 4 -0.75 -3.09250527 0.1 0.09817477 2280 2680 layer4_eta0_phi0 0 0
C 4 -0.75 -2.9943305 0.1 0.09817477 2280 2680 layer4_eta0_phi1 0 1
C 4 -0.75 -2.89615573 0.1 0.09817477 2280 2680 layer4_eta0_phi2 0 2
C 4 -0.75 -2.79798096 0.1 0.09817477 2280 2680 layer4_eta0_phi3 0 3
C 4 -0.75 -2.69980619 0.1 0.09817477 2280 2680 layer4_eta0_phi4 0 4
C 4 -0.75 -2.60163142 0.1 0.09817477 2280 2680 layer4_eta0_phi5 0 5
C 4 -0.75 -2.50345665 0.1 0.09817477 2280 2680 layer4_eta0_phi6 0 6
C 4 -0.75 -2.40528188 0.1 0.09817477 2280 2680 layer4_eta0_phi7 0 7
C 4 -0.75 -2.3071071 0.1 0.09817477 2280 2680 layer4_eta0_phi8 0 8
C 4 -0.75 -2.20893233 0.1 0.09817477 2280 2680 layer4_eta0_phi9 0 9
C 4 -0.75 -2.11075756 0.1 0.09817477 2280 2680 layer4_eta0_phi10 0 10
C 4 -0.75 -2.01258279 0.1 0.09817477 2280 2680 layer4_eta0_phi11 0 11
C 4 -0.75 -1.91440802 0.1 0.09817477 2280 2680 layer4_eta0_phi12 0 12
C 4 -0.75 -1.81623325 0.1 0.09817477 2280 2680 layer4_eta0_phi13 0 13
C 4 -0.75 -1.71805848 0.1 0.09817477 2280 2680 layer4_eta0_phi14 0 14
C 4 -0.75 -1.61988371 0.1 0.09817477 2280 2680 layer4_eta0_phi15 0 15
C 4 -0.75 -1.52170894 0.1 0.09817477 2280 2680 layer4_eta0_phi16 0 16
C 4 -0.75 -1.42353417 0.1 0.09817477 2280 2680 layer4_eta0_phi17 0 17
C 4 -0.75 -1.3253594 0.1 0.09817477 2280 2680 layer4_eta0_phi18 0 18
C 4 -0.75 -1.22718463 0.1 0.09817477 2280 2680 layer4_eta0_phi19 0 19
C 4 -0.75 -1.12900986 0.1 0.09817477 2280 2680 layer4_eta0_phi20 0 20
C 4 -0.75 -1.03083509 0.1 0.09817477 2280 2680 layer4_eta0_phi21 0 21
C 4 -0.75 -0.93266032 0.1 0.09817477 2280 2680 layer4_eta0_phi22 0 22
C 4 -0.75 -0.83448555 0.1 0.09817477 2280 2680 layer4_eta0_phi23 0 23
C 4 -0.75 -0.73631078 0.1 0.09817477 2280 2680 layer4_eta0_phi24 0 24
C 4 -0.75 -0.63813601 0.1 0.09817477 2280 2680 layer4_eta0_phi25 0 25
C 4 -0.75 -0.53996124 0.1 0.09817477 2280 2680 layer4_eta0_phi26 0 26
C 4 -0.75 -0.44178647 0.1 0.09817477 2280 2680 layer4_eta0_phi27 0 27
C 4 -0.75 -0.3436117 0.1 0.09817477 2280 2680 layer4_eta0_phi28 0 28
C 4 -0.75 -0.24543693 0.1 0.09817477 2280 2680 layer4_eta0_phi29 0 29
C 4 -0.75 -0.14726216 0.1 0.09817477 2280 2680 layer4_eta0_phi30 0 30
C 4 -0.75 -0.04908739 0.1 0.09817477 2280 2680 layer4_eta0_phi31 0 31
C 4 -0.75 0.04908739 0.1 0.09817477 2280 2680 layer4_eta0_phi32 0 32
C 4 -0.75 0.14726216 0.1 0.09817477 2280 2680 layer4_eta0_phi33 0 33
C 4 -0.75 0.24543693 0.1 0.09817477 2280 2680 layer4_eta0_phi34 0 34
C 4 -0.75 0.3436117 0.1 0.09817477 2280 2680 layer4_eta0_phi35 0 35
